UF,Nome Parlamentar,Posição,Partido,Email,Telefone,Evidência
SP,Arlindo Chinaglia,A favor do impeachment,PT,dep.arlindochinaglia@camara.leg.br,3215-5966,https://www.facebook.com/depchinaglia/posts/2786643378252238
SP,Bozzella,A favor do impeachment,PSL,dep.bozzella@camara.leg.br,3215-5582,https://twitter.com/bozzellajr/status/1350192598686838786
SP,Carlos Zarattini,A favor do impeachment,PT,dep.carloszarattini@camara.leg.br,3215-5808,https://twitter.com/CarlosZarattini/status/1348052695651917824
SP,Ivan Valente,A favor do impeachment,PSOL,dep.ivanvalente@camara.leg.br,3215-5716,https://twitter.com/IvanValente/status/1349473173335658497
SP,Joice Hasselmann,A favor do impeachment,PSL,dep.joicehasselmann@camara.leg.br,3215-5825,https://twitter.com/joicehasselmann/status/1350118954988150784
SP,Kim Kataguiri,A favor do impeachment,DEM,dep.kimkataguiri@camara.leg.br,3215-5421,https://twitter.com/kimpkat/status/1349890494101413888
SP,Luiza Erundina,A favor do impeachment,PSOL,dep.luizaerundina@camara.leg.br,3215-5620,https://twitter.com/luizaerundina/status/1350100167735840771
SP,Nilto Tatto,A favor do impeachment,PT,dep.niltotatto@camara.leg.br,3215-5502,https://twitter.com/NiltoTatto/status/1350125654944198657
SP,Orlando Silva,A favor do impeachment,PCdoB,dep.orlandosilva@camara.leg.br,3215-5923,https://twitter.com/orlandosilva/status/1293973718067273733
SP,Paulo Teixeira,A favor do impeachment,PT,dep.pauloteixeira@camara.leg.br,3215-5281,https://twitter.com/pauloteixeira13/status/1350051257520631809
SP,Rui Falcão,A favor do impeachment,PT,dep.ruifalcao@camara.leg.br,3215-5819,https://twitter.com/rfalcao13/status/1350099573058973696
SP,Sâmia Bomfim,A favor do impeachment,PSOL,dep.samiabomfim@camara.leg.br,3215-5623,https://twitter.com/samiabomfim/status/1350123014386577408
SP,Tabata Amaral,A favor do impeachment,PDT,dep.tabataamaral@camara.leg.br,3215-5848,https://twitter.com/tabataamaralsp/status/1350570216024109064?s=21
SP,Vicentinho,A favor do impeachment,PT,dep.vicentinho@camara.leg.br,3215-5740,https://twitter.com/VICENTINHOPT/status/1263217520548380679
SP,Bruna Furlan,Contra o impeachment,PSDB,dep.brunafurlan@camara.leg.br,3215-5836,https://www.oantagonista.com/brasil/nao-e-momento-de-falar-em-impeachment-diz-vice-presidente-do-psdb/
SP,Carla Zambelli,Contra o impeachment,PSL,dep.carlazambelli@camara.leg.br,3215-5482,https://www.oantagonista.com/brasil/zambelli-bolsonaro-nao-cometeu-crime-algum/
SP,Coronel Tadeu,Contra o impeachment,PSL,dep.coroneltadeu@camara.leg.br,3215-5756,https://twitter.com/CoronelTadeu/status/1350794661829468160
SP,Eduardo Bolsonaro,Contra o impeachment,PSL,dep.eduardobolsonaro@camara.leg.br,3215-5350,https://twitter.com/BolsonaroSP/status/1270495364416786433
SP,Guilherme Derrite,Contra o impeachment,PP,dep.guilhermederrite@camara.leg.br,3215-5639,https://twitter.com/capitaoderrite/status/1254843311019438083
SP,Marcos Pereira,Contra o impeachment,REPUBLICANOS,dep.marcospereira@camara.leg.br,3215-5523,https://twitter.com/marcospereira04/status/1267510174509563909
SP,Milton Vieira,Contra o impeachment,REPUBLICANOS,dep.miltonvieira@camara.leg.br,3215-5344,https://twitter.com/MiltonVieiraOfc/status/1254924747890216963
SP,Pr. Marco Feliciano,Contra o impeachment,REPUBLICANOS,dep.pr.marcofeliciano@camara.leg.br,3215-5254,https://twitter.com/marcofeliciano/status/1349393494612340742
SP,Rosana Valle,Contra o impeachment,PSB,dep.rosanavalle@camara.leg.br,3215-5529,https://twitter.com/DepRosanaValle/status/1255637882443911169
SP,Samuel Moreira,Contra o impeachment,PSDB,dep.samuelmoreira@camara.leg.br,3215-5921,https://twitter.com/samuelmoreira/status/1246149672537817093
SP,Abou Anni,Não se pronunciou,PSL,dep.abouanni@camara.leg.br,3215-5339,null
SP,Adriana Ventura,Não se pronunciou,NOVO,dep.adrianaventura@camara.leg.br,3215-5802,null
SP,Alex Manente,Não se pronunciou,CIDADANIA,dep.alexmanente@camara.leg.br,3215-5205,https://drive.google.com/file/d/10-2KC2dr0rUkpgJN9W9JM49DFRxDaXVc/view?usp=sharing
SP,Alexandre Leite,Não se pronunciou,DEM,dep.alexandreleite@camara.leg.br,3215-5841,https://twitter.com/lexandreleite/status/1351500980056182786
SP,Alexis Fonteyne,Não se pronunciou,NOVO,dep.alexisfonteyne@camara.leg.br,3215-5845,null
SP,Arnaldo Jardim,Não se pronunciou,CIDADANIA,dep.arnaldojardim@camara.leg.br,3215-5245,null
SP,Baleia Rossi,Não se pronunciou,MDB,dep.baleiarossi@camara.leg.br,3215-5829,null
SP,Capitão Augusto,Não se pronunciou,PL,dep.capitaoaugusto@camara.leg.br,3215-5358,null
SP,Carlos Sampaio,Não se pronunciou,PSDB,dep.carlossampaio@camara.leg.br,3215-5207,null
SP,Celso Russomanno,Não se pronunciou,REPUBLICANOS,dep.celsorussomanno@camara.leg.br,3215-5960,null
SP,Cezinha de Madureira,Não se pronunciou,PSD,dep.cezinhademadureira@camara.leg.br,3215-5533,null
SP,David Soares,Não se pronunciou,DEM,dep.davidsoares@camara.leg.br,3215-5741,null
SP,Eduardo Cury,Não se pronunciou,PSDB,dep.eduardocury@camara.leg.br,3215-5368,null
SP,Eli Corrêa Filho,Não se pronunciou,DEM,dep.elicorreafilho@camara.leg.br,3215-5850,null
SP,Enrico Misasi,Não se pronunciou,PV,dep.enricomisasi@camara.leg.br,3215-5574,null
SP,Fausto Pinato,Não se pronunciou,PP,dep.faustopinato@camara.leg.br,3215-5562,null
SP,General Peternelli,Não se pronunciou,PSL,dep.generalpeternelli@camara.leg.br,3215-5570,null
SP,Geninho Zuliani,Não se pronunciou,DEM,dep.geninhozuliani@camara.leg.br,3215-5860,null
SP,Gilberto Nascimento,Não se pronunciou,PSC,dep.gilbertonascimento@camara.leg.br,3215-5834,null
SP,Guiga Peixoto,Não se pronunciou,PSL,dep.guigapeixoto@camara.leg.br,3215-5333,null
SP,Guilherme Mussi,Não se pronunciou,PP,dep.guilhermemussi@camara.leg.br,3215-5712,null
SP,Herculano Passos,Não se pronunciou,MDB,dep.herculanopassos@camara.leg.br,3215-5926,null
SP,Jefferson Campos,Não se pronunciou,PSB,dep.jeffersoncampos@camara.leg.br,3215-5346,null
SP,Luiz Carlos Motta,Não se pronunciou,PL,dep.luizcarlosmotta@camara.leg.br,3215-5415,null
SP,Luiz Philippe de Orleans e Bragança,Não se pronunciou,PSL,dep.luizphilippedeorleansebraganca@camara.leg.br,3215-5719,null
SP,Marcio Alvino,Não se pronunciou,PL,dep.marcioalvino@camara.leg.br,3215-5331,null
SP,Marco Bertaiolli,Não se pronunciou,PSD,dep.marcobertaiolli@camara.leg.br,3215-5401,null
SP,Maria Rosas,Não se pronunciou,REPUBLICANOS,dep.mariarosas@camara.leg.br,3215-5436,null
SP,Miguel Lombardi,Não se pronunciou,PL,dep.miguellombardi@camara.leg.br,3215-5835,null
SP,Paulo Freire Costa,Não se pronunciou,PL,dep.paulofreirecosta@camara.leg.br,3215-5416,null
SP,Paulo Pereira da Silva,Não se pronunciou,SOLIDARIEDADE,dep.paulopereiradasilva@camara.leg.br,3215-5217,null
SP,Policial Katia Sastre,Não se pronunciou,PL,dep.policialkatiasastre@camara.leg.br,3215-5428,null
SP,Renata Abreu,Não se pronunciou,PODE,dep.renataabreu@camara.leg.br,3215-5717,null
SP,Ricardo Izar,Não se pronunciou,PP,dep.ricardoizar@camara.leg.br,3215-5634,https://twitter.com/RicardoIzar/status/1351550547569094657
SP,Ricardo Silva,Não se pronunciou,PSB,dep.ricardosilva@camara.leg.br,3215-5904,null
SP,Roberto Alves,Não se pronunciou,REPUBLICANOS,dep.robertoalves@camara.leg.br,3215-5946,null
SP,Roberto de Lucena,Não se pronunciou,PODE,dep.robertodelucena@camara.leg.br,3215-5235,null
SP,Rodrigo Agostinho,Não se pronunciou,PSB,dep.rodrigoagostinho@camara.leg.br,3215-5801,null
SP,Tiririca,Não se pronunciou,PL,dep.tiririca@camara.leg.br,3215-5343,null
SP,Vanderlei Macris,Não se pronunciou,PSDB,dep.vanderleimacris@camara.leg.br,3215-5618,null
SP,Vinicius Carvalho,Não se pronunciou,REPUBLICANOS,dep.viniciuscarvalho@camara.leg.br,3215-5356,null
SP,Vinicius Poit,Não se pronunciou,NOVO,dep.viniciuspoit@camara.leg.br,3215-5558,https://twitter.com/ViniciusPoit/status/1351321267157262338
SP,Vitor Lippi,Não se pronunciou,PSDB,dep.vitorlippi@camara.leg.br,3215-5823,null
TO,Célio Moura,A favor do impeachment,PT,dep.celiomoura@camara.leg.br,3215-5832,https://twitter.com/CelioMouraTO/status/1350189322339811329
TO,Carlos Henrique Gaguim,Não se pronunciou,DEM,dep.carloshenriquegaguim@camara.leg.br,3215-5214,null
TO,Dulce Miranda,Não se pronunciou,MDB,dep.dulcemiranda@camara.leg.br,3215-5530,null
TO,Eli Borges,Não se pronunciou,SOLIDARIEDADE,dep.eliborges@camara.leg.br,3215-5248,null
TO,Osires Damaso,Não se pronunciou,PSC,dep.osiresdamaso@camara.leg.br,3215-5474,null
TO,Professora Dorinha Seabra Rezende,Não se pronunciou,DEM,dep.professoradorinhaseabrarezende@camara.leg.br,3215-5432,null
TO,Tiago Dimas,Não se pronunciou,SOLIDARIEDADE,dep.tiagodimas@camara.leg.br,3215-5269,null
TO,Vicentinho Júnior,Não se pronunciou,PL,dep.vicentinhojunior@camara.leg.br,3215-5204,null
